iter	Passed	Remaining
0	0	70
1	1	67
2	1	63
3	2	60
4	3	58
5	3	58
6	4	57
7	4	55
8	5	54
9	5	53
10	6	53
11	7	52
12	7	51
13	8	50
14	8	50
15	9	49
16	10	49
17	10	48
18	11	48
19	12	48
20	12	48
21	13	48
22	14	47
23	15	47
24	15	47
25	16	46
26	17	46
27	17	45
28	18	45
29	19	44
30	19	44
31	20	43
32	21	43
33	21	42
34	22	42
35	23	41
36	24	40
37	24	40
38	25	39
39	26	39
40	26	38
41	27	38
42	28	37
43	28	36
44	29	36
45	30	35
46	30	34
47	31	34
48	32	33
49	33	33
50	33	32
51	34	31
52	35	31
53	36	30
54	36	30
55	37	29
56	38	28
57	38	28
58	39	27
59	40	26
60	41	26
61	41	25
62	42	24
63	43	24
64	43	23
65	44	22
66	45	22
67	46	21
68	46	20
69	47	20
70	48	19
71	48	18
72	49	18
73	50	17
74	51	17
75	51	16
76	52	15
77	53	15
78	53	14
79	54	13
80	55	12
81	55	12
82	56	11
83	57	10
84	58	10
85	59	9
86	59	8
87	60	8
88	61	7
89	62	6
90	62	6
91	63	5
92	64	4
93	64	4
94	65	3
95	66	2
96	66	2
97	67	1
98	68	0
99	69	0
